date_show,2023,2022,2021
2023-05-24,51.53945649931215,47.700896970708826,90.13444107534092
2023-05-25,50.65905047009106,42.89954231308839,90.13444107534092
2023-05-26,49.21465572932492,47.09717672932486,90.13444107534092
2023-05-27,42.24433037480678,47.09717672932486,83.42178837480678
2023-05-28,42.24433037480678,42.89954231308839,80.13721131308837
2023-05-29,42.24433037480678,42.184499419697005,79.37621241969703
2023-05-30,36.542607869328194,47.09717672932486,75.31079186932818
2023-05-31,37.18136877454253,47.09717672932486,74.22208137255843
2023-06-01,37.18136877454253,48.39399744592737,70.46691577454251
2023-06-02,34.837925706717456,48.39399744592737,63.68369802410819
2023-06-03,28.955984840766263,44.81646870671749,63.43310144592738
2023-06-04,28.955984840766263,44.81646870671749,58.89815914739148
2023-06-05,34.837925706717456,44.81646870671749,55.58177570671746
2023-06-06,34.837925706717456,35.428558840766286,51.91869261262017
2023-06-07,34.837925706717456,35.428558840766286,51.91869261262017
2023-06-08,31.999930192523642,35.37230119252363,51.91869261262017
2023-06-09,31.999930192523642,35.37230119252363,51.91869261262017
2023-06-10,31.999930192523642,35.37230119252363,51.91869261262017
2023-06-11,31.999930192523642,35.37230119252363,48.449020023490846
2023-06-12,28.639417023490847,35.37230119252363,48.449020023490846
2023-06-13,28.639417023490847,35.37230119252363,48.449020023490846
2023-06-14,28.639417023490847,33.44196389122811,45.02606289122812
2023-06-15,27.85675089122811,33.44196389122811,45.02606289122812
2023-06-16,27.85675089122811,33.44196389122811,42.04573458299671
2023-06-17,27.85675089122811,32.28182708739205,42.04573458299671
2023-06-18,25.140485087392044,32.28182708739205,42.04573458299671
2023-06-19,25.680359658331284,32.17085081807741,42.04573458299671
2023-06-20,25.680359658331284,32.17085081807741,40.56953081807741
2023-06-21,25.680359658331284,33.481570416595666,42.185989968441916
2023-06-22,35.230256972678816,32.0209709726788,42.185989968441916
2023-06-23,35.230256972678816,32.0209709726788,44.18150541659566
2023-06-24,33.895415497895584,32.0209709726788,44.64108215570701
2023-06-25,33.895415497895584,30.83164049789558,44.64108215570701
2023-06-26,33.895415497895584,31.87086969471086,44.64108215570701
2023-06-27,33.895415497895584,32.0209709726788,44.64108215570701
2023-06-28,31.7135607301961,32.0209709726788,44.64108215570701
2023-06-29,31.7135607301961,38.27422778877534,44.64108215570701
2023-06-30,31.7135607301961,38.27422778877534,47.33494410821746
2023-07-01,31.7135607301961,41.92242582739145,47.33494410821746
2023-07-02,31.7135607301961,43.32823657609883,43.3553247301961
2023-07-03,31.7135607301961,43.32823657609883,43.3553247301961
2023-07-04,31.7135607301961,43.32823657609883,43.3553247301961
2023-07-05,32.08812677307892,41.92242582739145,49.22125133935081
2023-07-06,28.766259896666377,39.33217048707955,42.87779039088852
2023-07-07,28.57913448707954,35.612131896666334,39.78664589666634
2023-07-08,26.83997107522245,35.21578281653089,37.694901487079555
2023-07-09,26.83997107522245,34.246991339350785,36.816099075222446
2023-07-10,26.83997107522245,35.21578281653089,37.451527142409766
2023-07-11,26.83997107522245,34.246991339350785,36.816099075222446
2023-07-12,26.83997107522245,35.21578281653089,36.816099075222446
2023-07-13,26.83997107522245,35.21578281653089,36.816099075222446
2023-07-14,27.467950960203275,31.163466360336532,37.451527142409766
2023-07-15,30.341092716230264,37.70844800605189,40.26128096020327
2023-07-16,30.341092716230264,37.70844800605189,40.26128096020327
2023-07-17,30.341092716230264,30.745065480890226,40.26128096020327
2023-07-18,27.467950960203275,30.745065480890226,40.26128096020327
2023-07-19,25.588089770618495,26.765266770618524,39.14169849743891
2023-07-20,25.588089770618495,26.765266770618524,37.60655793280068
2023-07-21,25.588089770618495,26.765266770618524,37.60655793280068
2023-07-22,25.588089770618495,25.736754497438866,37.60655793280068
2023-07-23,25.588089770618495,26.11394893704523,36.121579770618496
2023-07-24,25.588089770618495,26.11394893704523,36.121579770618496
2023-07-25,27.110988986966177,26.765266770618524,37.60655793280068
2023-07-26,,26.11394893704523,37.60655793280068
2023-07-27,,26.11394893704523,33.57852038985048
2023-07-28,,25.53547861085807,27.527448937045257
2023-07-29,,26.11394893704523,27.527448937045257
2023-07-30,,25.53547861085807,32.02942981838209
2023-07-31,,26.220559389850585,33.420990044788894
2023-08-01,,25.53547861085807,32.02942981838209
2023-08-02,,25.28840569118369,33.420990044788894
2023-08-03,,25.28840569118369,33.420990044788894
2023-08-04,,23.250612355552242,33.76781298881119
2023-08-05,,23.250612355552242,47.723330259863076
2023-08-06,,30.154209188325176,51.59876518832516
2023-08-07,,28.100844672616578,51.59876518832516
2023-08-08,,30.154209188325176,51.59876518832516
2023-08-09,,30.34611559003163,52.281311029070594
2023-08-10,,31.348656260807772,53.42303259003162
2023-08-11,,31.348656260807772,52.281311029070594
2023-08-12,,31.832769161081,50.42634167261659
2023-08-13,,31.348656260807772,42.76187516528143
2023-08-14,,31.348656260807772,42.66645992180194
2023-08-15,,28.969145254272625,42.66645992180194
2023-08-16,,28.969145254272625,42.66645992180194
2023-08-17,,28.969145254272625,42.66645992180194
2023-08-18,,30.56142241648713,42.61348908927981
2023-08-19,,30.56142241648713,42.61348908927981
2023-08-20,,30.56142241648713,42.61348908927981
2023-08-21,,30.56142241648713,42.61348908927981
2023-08-22,,30.56142241648713,42.61348908927981
2023-08-23,,30.56142241648713,42.61348908927981
2023-08-24,,32.844652703851054,42.61348908927981
2023-08-25,,32.844652703851054,50.45935370385103
2023-08-26,,32.844652703851054,50.45935370385103
2023-08-27,,32.844652703851054,58.459918170889495
2023-08-28,,32.844652703851054,58.459918170889495
2023-08-29,,33.299509648354416,58.459918170889495
2023-08-30,,38.268140500724904,62.430616500724916
2023-08-31,,38.268140500724904,62.430616500724916
2023-09-01,,38.268140500724904,58.459918170889495
2023-09-02,,38.503884377206035,55.78517923918495
2023-09-03,,38.503884377206035,53.69511807072373
2023-09-04,,38.503884377206035,51.68175144162766
2023-09-05,,38.503884377206035,51.68175144162766
2023-09-06,,32.77488787788937,48.76700464750446
2023-09-07,,32.77488787788937,48.76700464750446
2023-09-08,,32.77488787788937,48.76700464750446
2023-09-09,,32.77488787788937,45.511215291759356
2023-09-10,,38.01563424267702,43.67808524267701
2023-09-11,,38.01563424267702,43.67808524267701
2023-09-12,,38.01563424267702,43.67808524267701
2023-09-13,,38.01563424267702,43.67808524267701
2023-09-14,,35.84214934962368,43.67808524267701
2023-09-15,,35.84214934962368,37.461905615255695
2023-09-16,,35.84214934962368,37.461905615255695
2023-09-17,,35.84214934962368,37.461905615255695
2023-09-18,,37.19894327002382,37.461905615255695
2023-09-19,,45.69647157810358,43.96263734962372
2023-09-20,,46.01257197397854,58.43416081806055
2023-09-21,,51.223134818060515,61.02057696021868
2023-09-22,,63.48392996021867,61.74729457810355
2023-09-23,,65.56731408049991,66.12070802278228
2023-09-24,,65.56731408049991,66.12070802278228
2023-09-25,,65.56731408049991,66.12070802278228
2023-09-26,,66.82809756648167,66.12070802278228
2023-09-27,,65.56731408049991,64.37193599714102
2023-09-28,,65.06519852710599,64.37193599714102
2023-09-29,,65.06519852710599,64.37193599714102
2023-09-30,,65.06519852710599,64.37193599714102
2023-10-01,,65.06519852710599,64.388202569437
2023-10-02,,65.06519852710599,64.388202569437
2023-10-03,,64.23701044377765,67.22475067888699
2023-10-04,,63.970262569437,67.22475067888699
2023-10-05,,64.23701044377765,71.35722444377762
2023-10-06,,64.23701044377765,71.35722444377762
2023-10-07,,64.23701044377765,71.35722444377762
2023-10-08,,64.23701044377765,83.06026140460662
2023-10-09,,72.26146337516101,84.89190417972604
2023-10-10,,72.26146337516101,91.9146522037323
2023-10-11,,72.6910769320852,95.64675337516101
2023-10-12,,72.26146337516101,100.9722129320852
2023-10-13,,70.01951959652983,112.40586772083007
2023-10-14,,70.01951959652983,115.44065153995497
2023-10-15,,70.01951959652983,115.44065153995497
2023-10-16,,58.67344735210045,114.40657435210045
2023-10-17,,58.67344735210045,114.40657435210045
2023-10-18,,58.67344735210045,114.40657435210045
2023-10-19,,67.74395977601557,114.40657435210045
2023-10-20,,62.686360082043535,113.01109737803215
2023-10-21,,62.686360082043535,109.66701508204355
2023-10-22,,67.54971398277618,108.21951207078034
2023-10-23,,67.54971398277618,108.21951207078034
2023-10-24,,67.54971398277618,109.66701508204355
2023-10-25,,67.54971398277618,108.21951207078034
2023-10-26,,65.96326317727127,104.38482663198805
2023-10-27,,67.54971398277618,104.38482663198805
2023-10-28,,67.54971398277618,115.87815017727127
2023-10-29,,65.96326317727127,116.39374886678154
2023-10-30,,69.29455763198804,118.46255733156329
2023-10-31,,70.18105062567294,118.46255733156329
2023-11-01,,72.28851975107678,118.46255733156329
2023-11-02,,72.28851975107678,118.79624917789204
2023-11-03,,72.28851975107678,118.79624917789204
2023-11-04,,72.28851975107678,125.7013935439825
2023-11-05,,77.52850645235112,125.7013935439825
2023-11-06,,81.17933400623346,125.7013935439825
2023-11-07,,81.17933400623346,132.43870566211643
2023-11-08,,86.80866019234979,132.96881500623348
2023-11-09,,88.56022654398251,137.98831531483376
2023-11-10,,89.20128485722401,134.86915011194375
2023-11-11,,89.94515111194376,137.98831531483376
2023-11-12,,91.62252204155018,140.933296857224
2023-11-13,,89.94515111194376,140.933296857224
2023-11-14,,91.62252204155018,140.933296857224
2023-11-15,,92.69779086711,134.86915011194375
2023-11-16,,91.62252204155018,134.86915011194375
2023-11-17,,91.62252204155018,142.32920599728678
