,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
48,Physical Flow,day,2018-02-18 06:00,2018-02-19 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24280657.0,2021-01-16 00:09,,Confirmed,no,,,,
49,Physical Flow,day,2018-02-19 06:00,2018-02-20 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24486972.0,2021-01-16 01:46,,Confirmed,no,,,,
50,Physical Flow,day,2018-02-20 06:00,2018-02-21 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,72734646.0,2021-01-16 01:52,,Confirmed,no,,,,
51,Physical Flow,day,2018-02-21 06:00,2018-02-22 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,104748159.0,2021-01-16 01:13,,Confirmed,no,,,,
52,Physical Flow,day,2018-02-22 06:00,2018-02-23 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219299977.0,2021-01-16 01:52,,Confirmed,no,,,,
53,Physical Flow,day,2018-02-23 06:00,2018-02-24 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,220355787.0,2021-01-16 00:47,,Confirmed,no,,,,
54,Physical Flow,day,2018-02-24 06:00,2018-02-25 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24177711.0,2021-01-16 02:38,,Confirmed,no,,,,
55,Physical Flow,day,2018-02-25 06:00,2018-02-26 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,24417871.0,2021-01-16 02:29,,Confirmed,no,,,,
56,Physical Flow,day,2018-02-26 06:00,2018-02-27 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,244163642.0,2021-01-16 03:39,,Confirmed,no,,,,
57,Physical Flow,day,2018-02-27 06:00,2018-02-28 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,232273872.0,2021-01-16 02:38,,Confirmed,no,,,,
58,Physical Flow,day,2018-02-28 06:00,2018-03-01 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,222059378.0,2021-01-16 00:09,,Confirmed,no,,,,
59,Physical Flow,day,2018-03-01 06:00,2018-03-02 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,159100606.0,2021-01-16 03:39,,Confirmed,no,,,,
60,Physical Flow,day,2018-03-02 06:00,2018-03-03 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,180516539.0,2021-01-16 02:29,,Confirmed,no,,,,
61,Physical Flow,day,2018-03-03 06:00,2018-03-04 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,374711.0,2021-01-16 00:09,,Confirmed,no,,,,
62,Physical Flow,day,2018-03-04 06:00,2018-03-05 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 01:46,,Confirmed,no,,,,
63,Physical Flow,day,2018-03-05 06:00,2018-03-06 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,61545184.0,2021-01-16 01:52,,Confirmed,no,,,,
64,Physical Flow,day,2018-03-06 06:00,2018-03-07 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 01:13,,Confirmed,no,,,,
65,Physical Flow,day,2018-03-07 06:00,2018-03-08 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 01:46,,Confirmed,no,,,,
66,Physical Flow,day,2018-03-08 06:00,2018-03-09 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 00:47,,Confirmed,no,,,,
67,Physical Flow,day,2018-03-09 06:00,2018-03-10 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 01:13,,Confirmed,no,,,,
68,Physical Flow,day,2018-03-10 06:00,2018-03-11 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,22999324.0,2021-01-16 02:38,,Confirmed,no,,no,,
69,Physical Flow,day,2018-03-11 06:00,2018-03-12 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,22336161.0,2021-01-16 00:47,,Confirmed,no,,no,,
70,Physical Flow,day,2018-03-12 06:00,2018-03-13 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,21879820.0,2021-01-16 01:13,,Confirmed,no,,no,,
71,Physical Flow,day,2018-03-13 06:00,2018-03-14 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 02:29,,Confirmed,no,,no,,
72,Physical Flow,day,2018-03-14 06:00,2018-03-15 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 00:47,,Confirmed,no,,no,,
73,Physical Flow,day,2018-03-15 06:00,2018-03-16 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 02:38,,Confirmed,no,,no,,
74,Physical Flow,day,2018-03-16 06:00,2018-03-17 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 02:29,,Confirmed,no,,no,,
75,Physical Flow,day,2018-03-17 06:00,2018-03-18 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,,2021-01-16 03:39,,Confirmed,no,,no,,
76,Physical Flow,day,2018-03-18 06:00,2018-03-19 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,6745.0,2021-01-16 01:46,,Confirmed,no,,no,,
77,Physical Flow,day,2018-03-19 06:00,2018-03-20 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,87412386.0,2021-01-16 00:09,,Confirmed,no,,no,,
78,Physical Flow,day,2018-03-20 06:00,2018-03-21 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,141911319.0,2021-01-16 03:39,,Confirmed,no,,no,,
79,Physical Flow,day,2018-03-21 06:00,2018-03-22 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,99156046.0,2021-01-16 01:52,,Confirmed,no,,no,,
80,Physical Flow,day,2018-03-22 06:00,2018-03-23 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,141724333.0,2021-01-16 00:09,,Confirmed,no,,no,,
